area_name,road_intersection_name,latitude,longitude,notes
Indiranagar,100 Feet Road,12.9727,77.6410,Main commercial road in Indiranagar
Indiranagar,CMH Road,12.9784,77.6416,CMH Road locality
Whitefield,Marathahalli Bridge,12.9567,77.7012,Outer Ring Road overpass
Whitefield,ITPL Main Road,12.9847,77.7349,International Tech Park area
Koramangala,Sony World Junction,12.9374,77.6272,Junction of 80 Feet and 100 Feet Road
Koramangala,Sarjapur Road,12.9242,77.6289,Major road in Koramangala
M.G. Road,Trinity Circle,12.9728,77.6189,East end of MG Road
M.G. Road,Anil Kumble Circle,12.9777,77.6020,West end of MG Road (formerly Oriental Circle)
Jayanagar,Jayanagar 4th Block,12.9259,77.5830,Residential area in Jayanagar
Jayanagar,South End Circle,12.9411,77.5809,Metro station area in Jayanagar
Hebbal,Hebbal Flyover,13.0430,77.5903,Major flyover on NH 44
Hebbal,Ballari Road,13.0358,77.5970,NH 44 highway through Hebbal
Yeshwanthpur,Yeshwanthpur Circle,13.0280,77.5409,Northwestern neighborhood circle
Yeshwanthpur,Tumkur Road,13.0237,77.5507,NH 48 highway through Yeshwanthpur
Electronic City,Silk Board Junction,12.9170,77.6230,Intersection of Hosur Road and ORR
Electronic City,Hosur Road,12.8407,77.6699,NH 44 highway to Electronic City
